Organization,Organization City,Organization State,Organization Postal Code,Full Address,Latitude,Longitude
Heart Mountain Wyoming Foundation,Powell,WY,82435-8723,"Heart Mountain Wyoming Foundation, Powell, WY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",44.8834291,-108.729624
Washington DC Office of the National JACL,Washington,DC,20006-1602,"Washington DC Office of the National JACL, Washington, DC 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.9958641,-76.909393
"National Council for History Education, Inc.",University Heights,OH,44118-3204,"National Council for History Education, Inc., University Heights, OH 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",41.503333,-81.516289
Ball State University,Muncie,IN,47306-1022,"Ball State University, Muncie, IN 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.2406969,-85.320673
Thomas County Museum of History,Thomasville,GA,31792-4452,"Thomas County Museum of History, Thomasville, GA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",30.875057,-83.936683
Fort Peck Community College,Poplar,MT,59255-7819,"Fort Peck Community College, Poplar, MT 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",48.12294499999999,-105.1486343
University of New Hampshire,Durham,NH,03824-2620,"University of New Hampshire, Durham, NH 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",43.1629471,-70.8461737
Omohundro Institute of Early American History and Culture,Williamsburg,VA,23187-8781,"Omohundro Institute of Early American History and Culture, Williamsburg, VA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",37.3102838,-76.664357
Northern Arizona University,Flagstaff,AZ,86011-0001,"Northern Arizona University, Flagstaff, AZ 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",35.2401021,-111.50679
FDR Memorial Legacy Committee,Washington,DC,20006-1631,"FDR Memorial Legacy Committee, Washington, DC 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.9958641,-76.909393
Alex Foundation,Dermott,AR,71638-9105,"Alex Foundation, Dermott, AR 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",33.5502614,-91.38163879999999
Mississippi Department of Archives and History,Jackson,MS,39205-0571,"Mississippi Department of Archives and History, Jackson, MS 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",32.4109979,-90.05210509999999
Native American Connections,Phoenix,AZ,85012-1848,"Native American Connections, Phoenix, AZ 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",33.92057,-111.926046
University of Pittsburgh,Pittsburgh,PA,15260-6133,"University of Pittsburgh, Pittsburgh, PA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.501368,-79.8657231
National Blues Museum,St. Louis,MO,63101-1207,"National Blues Museum, St. Louis, MO 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.774349,-90.166409
National Constitution Center,Philadelphia,PA,19106-1514,"National Constitution Center, Philadelphia, PA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.1379919,-74.9557629
Cowlitz Indian Tribe,Longview,WA,98632-2662,"Cowlitz Indian Tribe, Longview, WA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",46.1835789,-122.8917151
History Colorado,Denver,CO,80203-2109,"History Colorado, Denver, CO 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",39.91424689999999,-104.6002959
Koahnic Broadcast Corporation,Anchorage,AK,99508-2870,"Koahnic Broadcast Corporation, Anchorage, AK 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",61.48393789999999,-148.4600069
Little Traverse Bay Bands of Odawa Indians,Harbor Springs,MI,49740-9692,"Little Traverse Bay Bands of Odawa Indians, Harbor Springs, MI 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",45.4428039,-84.9660919
Mt. Edgecumbe High School,Sitka,AK,99835-9418,"Mt. Edgecumbe High School, Sitka, AK 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",57.0492323,-135.3540043
Klamath Tribes,Chiloquin,OR,97624-6773,"Klamath Tribes, Chiloquin, OR 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.584776,-121.856779
North Shore Community Land Trust,Haleiwa,HI,96712-1610,"North Shore Community Land Trust, Haleiwa, HI 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",21.6116239,-158.0898479
Oneida Nation,Oneida,WI,54155-0365,"Oneida Nation, Oneida, WI 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",44.58663790000001,-88.1899409
Saginaw Chippewa Indian Tribe,Mt. Pleasant,MI,48858-7801,"Saginaw Chippewa Indian Tribe, Mt. Pleasant, MI 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",43.6264709,-84.737867
Sitka Tribe of Alaska,Sitka,AK,99835-7505,"Sitka Tribe of Alaska, Sitka, AK 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",58.00138689999999,-134.436541
Stewart Indian School Cultural Center & Museum,Carson City,NV,89701-8563,"Stewart Indian School Cultural Center & Museum, Carson City, NV 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",39.2508709,-119.548357
Winnebago Tribe of Nebraska,Winnebago,NE,68071-0687,"Winnebago Tribe of Nebraska, Winnebago, NE 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.2455521,-96.4361327
"Alaska Native Heritage Center, Inc.",Anchorage,AK,99504-6100,"Alaska Native Heritage Center, Inc., Anchorage, AK 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",61.48393789999999,-148.4600069
Carpenters Historic Hall,Philadelphia,PA,19106-2708,"Carpenters Historic Hall, Philadelphia, PA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.1379919,-74.9557629
Monticello,Charlottesville,VA,22902-0316,"Monticello, Charlottesville, VA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.070591,-78.4462999
"Clinton Church Restoration, Inc.",Great Barrington,MA,01230-6075,"Clinton Church Restoration, Inc., Great Barrington, MA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.258637,-73.244084
"Retreat Farm, Ltd.",Brattleboro,VT,05301-4801,"Retreat Farm, Ltd., Brattleboro, VT 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.897515,-72.53285
California State University,Rohnert Park,CA,94928-3609,"California State University, Rohnert Park, CA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.3725049,-122.6667126
Division Of State Library,Edenton,NC,27932-1903,"Division Of State Library, Edenton, NC 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",36.09205,-76.5525409
Esperanza Peace and Justice Center,San Antonio,TX,78212-4642,"Esperanza Peace and Justice Center, San Antonio, TX 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",29.7308885,-98.2229565
Old North Church,Boston,MA,02113-1123,"Old North Church, Boston, MA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.40081989999999,-70.749455
Over-the-Rhine Museum,Cincinnati,OH,45250-0026,"Over-the-Rhine Museum, Cincinnati, OH 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",39.123802,-84.5038854
Dorothea Dix Park Conservancy,Raleigh,NC,27611-8575,"Dorothea Dix Park Conservancy, Raleigh, NC 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",35.97172800000001,-78.471063
Historic Cherry Hill,Albany,NY,12202-1111,"Historic Cherry Hill, Albany, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.638677,-73.7603618
"Marblehead Museum and Historical Society, The",Marblehead,MA,01945-3340,"Marblehead Museum and Historical Society, The, Marblehead, MA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.528795,-70.7675711
West Virginia Mine Wars Museum,Matewan,WV,25678-0764,"West Virginia Mine Wars Museum, Matewan, WV 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",37.646439,-82.15155899999999
"Old Sturbridge, Inc.",Sturbridge,MA,01566-1138,"Old Sturbridge, Inc., Sturbridge, MA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.1745971,-72.02387
"Lower East Side Tenement Museum, Inc.",New York,NY,10002-3102,"Lower East Side Tenement Museum, Inc., New York, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.7241366,-73.9735436
Lancaster County Historical Society,Lancaster,PA,17603-3125,"Lancaster County Historical Society, Lancaster, PA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.0730409,-76.25408399999999
Maine State Museum,Augusta,ME,04333-0001,"Maine State Museum, Augusta, ME 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",44.3917829,-69.625485
"Anthology Film Archives, Inc.",New York,NY,10009,"Anthology Film Archives, Inc., New York, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.9175771,-73.70027209999999
Buffalo Bill Historical Center,Cody,WY,82414-3428,"Buffalo Bill Historical Center, Cody, WY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",44.5487878,-109.005803
Taft Museum of Art,Cincinnati,OH,45202-4214,"Taft Museum of Art, Cincinnati, OH 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",39.2207591,-84.36875479999999
"Tudor Place Foundation, Inc.",Washington,DC,20007-2924,"Tudor Place Foundation, Inc., Washington, DC 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.9958641,-76.909393
Town of Kittery,Kittery,ME,03904-1460,"Town of Kittery, Kittery, ME 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",43.1484189,-70.601426
Georgia O'Keeffe Museum,Santa Fe,NM,87501-1826,"Georgia O'Keeffe Museum, Santa Fe, NM 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",35.6891517,-105.9412918
Albright-Knox Art Gallery,Buffalo,NY,14222-1096,"Albright-Knox Art Gallery, Buffalo, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.9664549,-78.795157
Jewish Federation of Saint Louis,St. Louis,MO,63146-5776,"Jewish Federation of Saint Louis, St. Louis, MO 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.774349,-90.166409
Proprietors of The Boston Athenaeum Inc.,Boston,MA,02108-3764,"Proprietors of The Boston Athenaeum Inc., Boston, MA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.40081989999999,-70.749455
Michigan State University,East Lansing,MI,48824-3407,"Michigan State University, East Lansing, MI 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.800976,-84.438874
Eastern Shore Public Library Foundation,Accomac,VA,23301-0554,"Eastern Shore Public Library Foundation, Accomac, VA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.0279339,-75.16643499999999
Plains Art Museum,Fargo,ND,58102-4904,"Plains Art Museum, Fargo, ND 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",46.976966,-96.7532568
Lower Phalen Creek Project,Saint Paul,MN,55106-5019,"Lower Phalen Creek Project, Saint Paul, MN 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",44.992016,-93.00431979999999
Portland Art Museum,Portland,OR,97205-2430,"Portland Art Museum, Portland, OR 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",45.652886,-122.4720384
University of Central Florida Board of Trustees,Orlando,FL,32816-8005,"University of Central Florida Board of Trustees, Orlando, FL 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",28.6142797,-81.17779999999999
University of Louisiana at Lafayette,Lafayette,LA,70503-2014,"University of Louisiana at Lafayette, Lafayette, LA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",30.296503,-91.969376
Folger Shakespeare Library admin by Trustees of Amherst College,Washington,DC,20003-1004,"Folger Shakespeare Library admin by Trustees of Amherst College, Washington, DC 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.8892957,-77.0027563
New York Historical Society,New York,NY,10024-5152,"New York Historical Society, New York, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.9175771,-73.70027209999999
Holmes Community College,Goodman,MS,39079-2300,"Holmes Community College, Goodman, MS 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",32.974206,-89.902838
WNYC Radio,New York,NY,10013-1220,"WNYC Radio, New York, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.9175771,-73.70027209999999
National Public Housing Museum,Chicago,IL,60601-2424,"National Public Housing Museum, Chicago, IL 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.023131,-87.52366099999999
MCASD,San Diego,CA,92101-3306,"MCASD, San Diego, CA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",33.114249,-116.90816
Rebuild Foundation NFP,Chicago,IL,60637-1016,"Rebuild Foundation NFP, Chicago, IL 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",41.88217179999999,-87.6400711
Pueblo Library District,Pueblo,CO,81004-4232,"Pueblo Library District, Pueblo, CO 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.3458604,-104.4599534
Institute For Advanced Study - Louis Bamberger And Mrs. Felix Fuld Fdn,Princeton,NJ,08540-4952,"Institute For Advanced Study - Louis Bamberger And Mrs. Felix Fuld Fdn, Princeton, NJ 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.3917548,-74.61750789999999
Korean Cultural Center of Chicago,Wheeling,IL,60090-7202,"Korean Cultural Center of Chicago, Wheeling, IL 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.155236,-87.88756810000001
Strawbery Banke Museum,Portsmouth,NH,03802-0300,"Strawbery Banke Museum, Portsmouth, NH 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",43.0995871,-70.7280049
Shaker Museum | Mount Lebanon,Old Chatham,NY,12136-2601,"Shaker Museum | Mount Lebanon, Old Chatham, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.462838,-73.5417044
University of Pennsylvania,Philadelphia,PA,19104-6205,"University of Pennsylvania, Philadelphia, PA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.1379919,-74.9557629
Anchorage Library Foundation,Anchorage,AK,99503-6055,"Anchorage Library Foundation, Anchorage, AK 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",61.48393789999999,-148.4600069
"Dayton Society of Natural History, Inc.",Dayton,OH,45414-5400,"Dayton Society of Natural History, Inc., Dayton, OH 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",39.9208229,-84.0929378
Pike County Library,Waverly,OH,45690-1176,"Pike County Library, Waverly, OH 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",39.1469581,-82.957917
